"rbr","name","date","stars","review","lang","thumb","reply"
50,"Jack Barnes",2020-05-05,1," It was great, when it worked. Now it refuses to give directions. It says no routes can be found and that maybe there's too much water inbetween. I used to really like this app","en",6,NA
51,"Steve Bui",2020-04-20,5," Great map app. One great feature is the ability to navigate offline. Literally saved my butt when I got lost in the mountain while driving with no cellular signal for data.","en",12,NA
52,"Ooi 5011",2020-05-11,3," i use this for my car android player, everything is good...but the voice navigation not stable. sometime got sound sometine no have.","en",0,NA
53,"MG7P Bot",2020-05-13,1," claims it can't give directions unless I allow access to location (as if I can't type in the starting point). time to uninstall; aufweidersehen.","en",1,NA
54,"Anay Makan",2020-06-05,4," Decent app but graphics seem outdated compared to here navigation in Audi's and BMWs.","en",3,NA
55,"Angel Mendoza",2020-03-20,3," Good for navigation if you already have an address, but not for finding places, as many of them are missing, if it wasn't because of that, the app would be really really good.","en",15,NA
56,"Paul Smith",2020-04-21,5," Great navigation tool but sadly blocked by Google on Google Auto (🤔) so you have to use either their Waze or Google Maps. Wish I could use it again as prefer their map graphics and a bunch of other small things to Google's offeri","en",8,NA
57,"wesley2pl",2020-05-05,2," for last 2 months have problem with app, but still have hope it will work properly. can find destination, however can't show route there. before was working fantastic-used in whole uk and driving around Europe.","en",6,NA
58,"Brian Hesom",2020-05-12,1," App keeps stopping after loading new version of Here wego. Has done this before. Not confident in app","en",2,NA
59,"Eric Yap",2020-03-20,1," My downloaded maps kept disappearing. I closed the app, then opened again, checked my downloaded maps & it was empty! I repeated at least 3 times, and it's the same result. Truly disappointed.","en",7,NA
60,"Gul Gadot",2020-04-28,1," Sad that it doesn't have offline map for both China and Pakistan. Surprisingly China' Huawei is considering to include this navigation app in their upcoming phones (replacement to google maps) but this app doesn't have offline map for china... 0/5...","en",2,NA
61,"Olivia Leo",2020-05-07,5," In the beginning I thought this here wego app can't use anymore because can't navigate as usual but after I downloaded off line maps it's against useful and helpful in navigation. Thanks here wego city navigation app.","en",5,NA
62,"Dawid Meiring",2020-04-02,4," Excellent app! Could you please just update or make it possible to know what map is available for update and then the user to choose which map they want to update. Eg user can have US and UK maps loaded, then show, US map update available. Thanks","en",3,NA
63,"Justin Foster",2020-04-29,5," Wow, what an amazing app! This is so much better than Google maps in every way. Even the accuracy is more precise on Here WeGo. Great job guys!!!","en",4,NA
64,"Amila de Alwis",2020-04-25,1," Navigation not working. Always says ""no navigation in region. The area isn't map well enough for us to give you good directions"". Going to uninstall this app. Please fix or add directions.","en",3,NA
