"week_cut","pred","year","week","low","high","app"
2021-05-31,23.5685106369792,2021,22,0,56.8372565929061,"2"
2021-06-07,27.2220127149311,2021,23,0,65.5597974617008,"2"
2021-06-14,7.47560439158778,2021,24,0,18.1430712648119,"2"
2020-06-15,25.175802598967,2020,24,25.175802598967,25.175802598967,"3"
2020-06-22,27.8200171234322,2020,25,27.8200171234322,27.8200171234322,"3"
2020-06-29,19.1063422041652,2020,26,19.1063422041652,19.1063422041652,"3"
2020-07-06,12.4527766272288,2020,27,15.8704575898014,12.4527766272288,"3"
2020-07-13,30.2156535711873,2020,28,30.2156535711873,30.2156535711873,"3"
2020-07-20,22.1893292101576,2020,29,22.1893292101576,22.1893292101576,"3"
2020-07-27,16.535132111564,2020,30,17.2081434997824,16.535132111564,"3"
2020-08-03,16.3393790009516,2020,31,16.3393790009516,16.3393790009516,"3"
2020-08-10,20.0641367436107,2020,32,20.4213627255718,20.0641367436107,"3"
2020-08-17,26.1664112062966,2020,33,26.1664112062966,26.1664112062966,"3"
2020-08-24,23.868578355413,2020,34,23.868578355413,23.868578355413,"3"
2020-08-31,22.1688768183526,2020,35,22.1688768183526,22.1688768183526,"3"
2020-09-07,10.3704622033873,2020,36,11.789740981442,10.3704622033873,"3"
2020-09-14,9.64969652746099,2020,37,11.4237602322167,9.64969652746099,"3"
2020-09-21,13.6562189537806,2020,38,14.9660925379421,13.6562189537806,"3"
2020-09-28,16.0468981818718,2020,39,17.389451995433,16.0468981818718,"3"
2020-10-05,7.57178212735019,2020,40,7.98821300360764,7.57178212735019,"3"
2020-10-12,4.76614681301181,2020,41,8.00526757587383,4.76614681301181,"3"
2020-10-19,19.2506385051932,2020,42,19.2506385051932,19.2506385051932,"3"
2020-10-26,18.3761344909312,2020,43,18.8606015381913,18.3761344909312,"3"
2020-11-02,5.64704020512144,2020,44,10.4759964424781,5.64704020512144,"3"
2020-11-09,15.9577518800984,2020,45,17.3632373074794,15.9577518800984,"3"
2020-11-16,22.6061129050288,2020,46,22.6061129050288,22.6061129050288,"3"
2020-11-23,15.4798670770396,2020,47,16.239483910245,15.4798670770396,"3"
2020-11-30,22.0008277733956,2020,48,22.0008277733956,22.0008277733956,"3"
2020-12-07,21.7746417279046,2020,49,21.7746417279046,21.7746417279046,"3"
2020-12-14,21.470806268674,2020,50,21.470806268674,21.470806268674,"3"
2020-12-21,16.3259334987704,2020,51,16.8295747918353,16.3259334987704,"3"
2020-12-28,13.4812205329887,2020,52,13.4812205329887,13.4812205329887,"3"
2021-01-04,14.2260509495555,2021,1,16.0788861580979,14.2260509495555,"3"
2021-01-11,24.2622004743084,2021,2,24.6093032314237,24.2622004743084,"3"
2021-01-18,12.8113601433573,2021,3,13.8799918846046,12.8113601433573,"3"
2021-01-25,18.8781715108401,2021,4,18.8781715108401,18.8781715108401,"3"
2021-02-01,24.8115442452946,2021,5,24.8115442452946,24.8115442452946,"3"
2021-02-08,21.501590535496,2021,6,21.501590535496,21.501590535496,"3"
2021-02-15,4.52111968581897,2021,7,9.6301018064119,4.52111968581897,"3"
2021-02-22,17.5578352452471,2021,8,17.5578352452471,17.5578352452471,"3"
2021-03-01,13.2616506260036,2021,9,13.2616506260036,13.2616506260036,"3"
