"day_cut","sentiment","year","day","app"
2020-05-09,0.25,2020,9,"1"
2020-05-15,-0.25,2020,15,"1"
2020-05-19,-0.08,2020,19,"1"
2020-05-26,0.43,2020,26,"1"
2020-06-03,-0.27,2020,3,"1"
2020-06-08,0.35,2020,8,"1"
2020-06-11,0.4,2020,11,"1"
2016-06-15,0.09,2016,15,"2"
2016-06-16,-0.1,2016,16,"2"
2016-06-17,0.41,2016,17,"2"
2016-06-18,0.18,2016,18,"2"
2016-06-19,0.02,2016,19,"2"
2016-06-20,0.25,2016,20,"2"
2016-06-21,0.11,2016,21,"2"
2016-06-22,0.42,2016,22,"2"
2016-06-23,0.39,2016,23,"2"
2016-06-24,0.38,2016,24,"2"
2016-06-25,0.17,2016,25,"2"
2016-06-26,0.45,2016,26,"2"
2016-06-27,0.39,2016,27,"2"
2016-06-28,0.38,2016,28,"2"
2016-06-29,0.26,2016,29,"2"
2016-06-30,0.95,2016,30,"2"
2016-07-01,0.29,2016,1,"2"
2016-07-02,0.34,2016,2,"2"
2016-07-03,0.12,2016,3,"2"
2016-07-04,0.04,2016,4,"2"
2016-07-05,0.07,2016,5,"2"
2016-07-06,-0.08,2016,6,"2"
2016-07-07,0.08,2016,7,"2"
2016-07-08,0.08,2016,8,"2"
2016-07-09,0.11,2016,9,"2"
2016-07-10,0.54,2016,10,"2"
2016-07-11,0.2,2016,11,"2"
2016-07-12,0.33,2016,12,"2"
2016-07-13,0.27,2016,13,"2"
2016-07-14,0.17,2016,14,"2"
2016-07-15,0.1,2016,15,"2"
2016-07-16,0.27,2016,16,"2"
2016-07-17,0.22,2016,17,"2"
2016-07-18,0.17,2016,18,"2"
2016-07-19,0.24,2016,19,"2"
2016-07-20,0.17,2016,20,"2"
2016-07-21,0.22,2016,21,"2"
2016-07-22,0.21,2016,22,"2"
2016-07-23,0.15,2016,23,"2"
2016-07-24,0.07,2016,24,"2"
2016-07-25,0.17,2016,25,"2"
2016-07-26,0.26,2016,26,"2"
2016-07-27,0.31,2016,27,"2"
2016-07-28,0.23,2016,28,"2"
2016-07-29,0.14,2016,29,"2"
2016-07-30,-0.03,2016,30,"2"
2016-07-31,-0.03,2016,31,"2"
2016-08-01,0.22,2016,1,"2"
2016-08-02,0.4,2016,2,"2"
2016-08-03,0.25,2016,3,"2"
2016-08-04,0.19,2016,4,"2"
2016-08-05,0.28,2016,5,"2"
2016-08-06,0.19,2016,6,"2"
2016-08-07,-0.01,2016,7,"2"
2016-08-08,0.11,2016,8,"2"
2016-08-09,0.27,2016,9,"2"
2016-08-10,0.25,2016,10,"2"
2016-08-11,0.13,2016,11,"2"
2016-08-12,0.13,2016,12,"2"
2016-08-13,0.23,2016,13,"2"
2016-08-14,0.09,2016,14,"2"
2016-08-15,0.34,2016,15,"2"
2016-08-16,0.17,2016,16,"2"
2016-08-17,0.18,2016,17,"2"
2016-08-18,0.51,2016,18,"2"
2016-08-19,0.23,2016,19,"2"
2016-08-20,0.22,2016,20,"2"
2016-08-21,0.18,2016,21,"2"
2016-08-22,0.16,2016,22,"2"
2016-08-23,0.07,2016,23,"2"
2016-08-24,0.28,2016,24,"2"
2016-08-25,0.33,2016,25,"2"
2016-08-26,0.36,2016,26,"2"
2016-08-27,0.16,2016,27,"2"
2016-08-28,0.21,2016,28,"2"
2016-08-29,0.63,2016,29,"2"
2016-08-30,0.18,2016,30,"2"
2016-08-31,0.21,2016,31,"2"
2016-09-01,0.26,2016,1,"2"
2016-09-02,0.14,2016,2,"2"
2016-09-03,0.07,2016,3,"2"
2016-09-04,0.28,2016,4,"2"
2016-09-05,0.17,2016,5,"2"
2016-09-06,0.17,2016,6,"2"
2016-09-07,0.16,2016,7,"2"
2016-09-08,0.09,2016,8,"2"
2016-09-09,0.17,2016,9,"2"
2016-09-10,0.45,2016,10,"2"
