"week_cut","stars","year","week","app"
2019-07-15,3.19444444444444,2019,28,"3"
2019-07-22,3.7952380952381,2019,29,"3"
2019-07-29,3.00194805194805,2019,30,"3"
2019-08-05,3.40796703296703,2019,31,"3"
2019-08-12,3.4718253968254,2019,32,"3"
2019-08-19,3.43809523809524,2019,33,"3"
2019-08-26,3.41989795918367,2019,34,"3"
2019-09-02,2.52380952380952,2019,35,"3"
2019-09-09,3.7,2019,36,"3"
2019-09-16,3.38095238095238,2019,37,"3"
2019-09-23,2.96666666666667,2019,38,"3"
2019-09-30,3.16071428571429,2019,39,"3"
2019-10-07,3.6547619047619,2019,40,"3"
2019-10-14,4.28571428571429,2019,41,"3"
2019-10-21,3.26262626262626,2019,42,"3"
2019-10-28,3.44047619047619,2019,43,"3"
2019-11-04,2.77380952380952,2019,44,"3"
2019-11-11,3.0952380952381,2019,45,"3"
2019-11-18,2.73809523809524,2019,46,"3"
2019-11-25,4.25,2019,47,"3"
2019-12-02,3.61598639455782,2019,48,"3"
2019-12-09,3.9,2019,49,"3"
2019-12-16,2.88095238095238,2019,50,"3"
2019-12-23,3.34444444444444,2019,51,"3"
2019-12-30,3.48809523809524,2019,52,"3"
2020-01-06,3.31428571428571,2020,1,"3"
2020-01-13,3.33333333333333,2020,2,"3"
2020-01-20,3.79047619047619,2020,3,"3"
2020-01-27,3.47222222222222,2020,4,"3"
2020-02-03,3.63730158730159,2020,5,"3"
2020-02-10,2.75714285714286,2020,6,"3"
2020-02-17,3.19047619047619,2020,7,"3"
2020-02-24,3.57142857142857,2020,8,"3"
2020-03-02,3.49444444444444,2020,9,"3"
2020-03-09,3.39285714285714,2020,10,"3"
2020-03-16,3.33333333333333,2020,11,"3"
2020-03-23,2.91666666666667,2020,12,"3"
2020-03-30,3.56666666666667,2020,13,"3"
2020-04-06,3.72222222222222,2020,14,"3"
2020-04-13,3.06944444444444,2020,15,"3"
2020-04-20,3.10833333333333,2020,16,"3"
2020-04-27,2.79761904761905,2020,17,"3"
2020-05-04,3.5,2020,18,"3"
2020-05-11,2.72142857142857,2020,19,"3"
2020-05-18,3,2020,20,"3"
2020-05-25,3.81944444444444,2020,21,"3"
2020-06-01,4.11111111111111,2020,22,"3"
2020-06-08,2.85714285714286,2020,23,"3"
2020-06-15,3.66666666666667,2020,24,"3"
2016-06-13,3.85,2016,24,"4"
2016-06-20,2.0625,2016,25,"4"
2016-06-27,3.61111111111111,2016,26,"4"
2016-07-04,3.20833333333333,2016,27,"4"
2016-07-11,2.72619047619048,2016,28,"4"
2016-07-18,3.83333333333333,2016,29,"4"
2016-07-25,3.06666666666667,2016,30,"4"
2016-08-01,3.41666666666667,2016,31,"4"
2016-08-08,3.625,2016,32,"4"
2016-08-15,3.5,2016,33,"4"
2016-08-22,2.36111111111111,2016,34,"4"
2016-08-29,2.58333333333333,2016,35,"4"
2016-09-05,3.13888888888889,2016,36,"4"
2016-09-12,3.9,2016,37,"4"
2016-09-19,3.71666666666667,2016,38,"4"
2016-09-26,2.83333333333333,2016,39,"4"
2016-10-03,3.2,2016,40,"4"
2016-10-10,3.83333333333333,2016,41,"4"
2016-10-17,4.36428571428571,2016,42,"4"
2016-10-24,4.2,2016,43,"4"
2016-10-31,3.3,2016,44,"4"
2016-11-07,4.5,2016,45,"4"
2016-11-14,3.33333333333333,2016,46,"4"
2016-11-21,3.9,2016,47,"4"
2016-11-28,4.25,2016,48,"4"
2016-12-05,2.80555555555556,2016,49,"4"
