"week_cut","sentiment","year","week","app"
2018-05-28,0.25,2018,22,"4"
2018-06-04,-0.11,2018,23,"4"
2018-06-11,0.37,2018,24,"4"
2018-06-18,-0.1,2018,25,"4"
2018-06-25,0.1,2018,26,"4"
2018-07-02,0.17,2018,27,"4"
2018-07-09,-0.34,2018,28,"4"
2018-07-16,0.09,2018,29,"4"
2018-07-23,-0.03,2018,30,"4"
2018-07-30,0.2,2018,31,"4"
2018-08-06,0.01,2018,32,"4"
2018-08-13,0.14,2018,33,"4"
2018-08-20,-0.05,2018,34,"4"
2018-08-27,-0.09,2018,35,"4"
2018-09-03,0.25,2018,36,"4"
2018-09-10,0.05,2018,37,"4"
2018-09-17,0,2018,38,"4"
2018-09-24,-0.02,2018,39,"4"
2018-10-01,0.2,2018,40,"4"
2018-10-08,-0.02,2018,41,"4"
2018-10-15,0.27,2018,42,"4"
2018-10-22,0.18,2018,43,"4"
